inchi,name,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C_APT_charge,C_ES_root_Mulliken_charge,C_ES_root_NPA_Rydberg,C_ES_root_NPA_charge,C_ES_root_NPA_core,C_ES_root_NPA_total,C_ES_root_NPA_valence,C_Mulliken_charge,C_NMR_anisotropy,C_NMR_shift,C_NPA_Rydberg,C_NPA_charge,C_NPA_core,C_NPA_total,C_NPA_valence,C_VBur,O_APT_charge,O_ES_root_Mulliken_charge,O_ES_root_NPA_Rydberg,O_ES_root_NPA_charge,O_ES_root_NPA_core,O_ES_root_NPA_total,O_ES_root_NPA_valence,O_Mulliken_charge,O_NMR_anisotropy,O_NMR_shift,O_NPA_Rydberg,O_NPA_charge,O_NPA_core,O_NPA_total,O_NPA_valence,O_VBur,order,ring_size,C_angle,OC_length,OC_L,OC_B1,OC_B5,C_PVBur
"InChI=1S/C12H20O6/c1-11(2)14-5-6(16-11)8-7(13)9-10(15-8)18-12(3,4)17-9/h6-10,13H,5H2,1-4H3/t6-,7-,8+,9-,10-/m1/s1",1an,-920.306651,3.472141022,5310.258621,2188.549008,-920.6370334,0.342267241,-920.3239982,-920.3695155,0.279402769,-920.3057066,0.343211333,2.968166401,0.135475454,5416.075829,0.191515082,-0.326990536,0.056039628,260.2864,1808.370486,38,0.324919553,0.456849246,0.062657085,0.040700205,-0.015159644,1.99911181,6.015159644,3.975344753,-0.004354358,33.50947652,109.9380888,0.022694115,0.051649725,1.999191175,5.948350275,3.926464985,0.66849507,-0.752529984,-0.102683175,0.025332475,-0.523010047,1.999829037,8.523010047,6.497852655,-0.477777579,70.48948367,297.6895184,0.012900504,-0.712558036,1.999824706,8.712558036,6.699828706,0.524803862,secondary,5,101.14,1.406317129,5.525262272,2.082072244,7.674358811,0.549838348
"InChI=1S/C30H32Cl3NO/c1-3-5-13-34(14-6-4-2)19-29(35)28-18-23(33)17-27-25(15-20-7-9-21(31)10-8-20)26-16-22(32)11-12-24(26)30(27)28/h7-12,15-18,29,35H,3-6,13-14,19H2,1-2H3/b25-15-",1ak,-2672.386113,10.25777357,28187.72771,4698.254663,-2672.963314,0.589207308,-2672.419856,-2672.490124,0.485196133,-2672.385169,0.590151309,4.878756384,0.165907641,28421.87968,0.107059621,-0.272967262,-0.058848019,528.9479,4357.837775,67,0.555464552,0.536218257,-0.117341051,0.021264788,0.057953732,1.999168796,5.942046268,3.921621462,-0.118953429,45.31023589,117.3695213,0.020956847,0.068437737,1.999168836,5.931562263,3.911436548,0.703301964,-0.884182252,-0.515112876,0.012713147,-0.729528608,1.999829989,8.729528608,6.716993914,-0.521549258,42.12513136,289.8320855,0.012671244,-0.735228567,1.99982999,8.735228567,6.722726993,0.481620834,secondary,0,110.05,1.410401761,10.39632989,3.883457004,11.8007143,0.584305241
"InChI=1S/C41H37ClN6O/c1-2-3-23-38-43-39(42)37(29-49)47(38)28-30-24-26-31(27-25-30)35-21-13-14-22-36(35)40-44-45-46-48(40)41(32-15-7-4-8-16-32,33-17-9-5-10-18-33)34-19-11-6-12-20-34/h4-22,24-27,49H,2-3,23,28-29H2,1H3",1s,-2447.735205,,,,-2448.479797,0.744592088,-2447.776738,-2447.854191,0.625605753,-2447.734261,0.745536147,6.652138379,0.15036739,29711.77496,0.128332565,-0.278699955,-0.022034825,665.2359,5010.077816,86,0.703058903,0.708110814,,,,,,,-0.134346935,62.60789647,129.3213322,0.022028755,-0.103915155,1.999178821,6.103915155,4.082708136,0.527804759,-0.830065909,,,,,,,-0.480873275,64.33368613,285.8129426,0.012226737,-0.721075318,1.999838636,8.721075318,6.709009768,0.484598974,primary,0,109.375,1.421389859,5.905079586,2.218073647,9.931825913,0.439134644
"InChI=1S/C13H21NO3S/c1-3-9-14(10-4-2)18(16,17)13-7-5-12(11-15)6-8-13/h5-8,15H,3-4,9-11H2,1-2H3",1r,-1186.240782,6.782137116,6103.965442,2200.428118,-1186.582043,0.353039688,-1186.260477,-1186.310766,0.283055638,-1186.239838,0.353983898,6.460191998,0.157741393,6329.456801,0.146916929,-0.304658321,-0.010824464,271.3738,2275.50192,39,0.333344604,0.584959622,-0.085717051,0.020787814,-0.089806902,1.999225078,6.089806902,4.069791074,-0.09497514,58.64409548,118.5777567,0.01999686,-0.083497982,1.999215053,6.083497982,4.06429021,0.475783498,-0.77346694,-0.500004434,0.011820188,-0.71483372,1.999835078,8.71483372,6.703178423,-0.502832041,95.03661977,312.2881305,0.011405543,-0.716277648,1.999835078,8.716277648,6.70503756,0.377065743,primary,0,108.945,1.410874631,9.34581938,1.883832077,10.6701045,0.359126361
"InChI=1S/C16H17ClN4O3/c1-2-20(9-10-22)13-5-3-12(4-6-13)18-19-16-8-7-14(21(23)24)11-15(16)17/h3-8,11,22H,2,9-10H2,1H3/b19-18+",1j,-1524.308065,11.81955668,16126.24866,2695.595307,-1524.624041,0.344079107,-1524.330361,-1524.385587,0.266556539,-1524.307121,0.345023395,8.409749899,0.166778787,16049.87024,0.084590129,-0.251368916,-0.082188658,348.7883,2608.513137,41,0.321782511,0.535761911,-0.059205013,0.020521882,-0.075442691,1.999297053,6.075442691,4.055621911,-0.060564225,58.35242922,121.871735,0.020407632,-0.075357481,1.999296813,6.075357481,4.055654212,0.50642126,-0.774083868,-0.501817828,0.012540959,-0.723783584,1.999823541,8.723783584,6.71141798,-0.499921155,54.1610692,309.1203729,0.01249394,-0.722322735,1.999824298,8.722322735,6.710005377,0.408154189,primary,0,109.665,1.415052961,8.15594059,1.790549806,13.36462662,0.389645779
"InChI=1S/C14H19NO7/c1-9(16)10-7-12(20-2)13(8-11(10)15(18)19)22-6-4-5-14(17)21-3/h7-9,16H,4-6H2,1-3H3",1u,-1125.79333,7.942938754,9939.510877,2272.78185,-1126.133357,0.355064812,-1125.816061,-1125.871422,0.276972669,-1125.792386,0.356009294,5.974918609,0.172522435,9695.237545,0.120950844,-0.293473279,-0.051571591,313.3066,2457.467856,41,0.332333613,0.650755591,-0.032266119,0.019145883,0.075184123,1.9992,5.924815877,3.906474778,-0.00700001,49.73084777,114.4907583,0.01949213,0.077666882,1.999200009,5.922333118,3.903635752,0.640646143,-0.799342159,-0.496621318,0.012338648,-0.723442868,1.999829864,8.723442868,6.711273884,-0.500966847,79.26626494,267.2123555,0.012334373,-0.727941067,1.999829864,8.727941067,6.715776844,0.434354549,secondary,0,110.83,1.42226272,7.435286677,2.127145596,12.27934509,0.488518456
"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-6-7(13)5-8(12)9(14)16-4/h7-8,13H,5-6H2,1-4H3/t7-,8+/m1/s1",1l,-861.1979096,4.03033563,4316.357597,2171.67822,-861.5075374,0.324399486,-861.2164479,-861.2637922,0.258516789,-861.1969656,0.325343578,4.999084586,0.135778564,4467.93128,0.177684439,-0.313463003,0.041905874,245.2748,2150.924808,36,0.305860802,0.610710483,0.053927747,0.019675152,0.082751268,1.999256171,5.917248732,3.898313386,0.05904751,38.98195332,110.6954275,0.019383238,0.085097931,1.999256171,5.914902069,3.896260798,0.586978079,-0.777755009,-0.500924464,0.011985176,-0.722750897,1.999825923,8.722750897,6.710939694,-0.499965361,81.82150601,278.450808,0.011879257,-0.721156243,1.999825923,8.721156243,6.709456278,0.410355371,secondary,5,102.84,1.415916621,7.042868261,2.114625566,8.35015181,0.438997103
"InChI=1S/C11H19NO5/c1-11(2,3)17-10(15)12-6-7(13)5-8(12)9(14)16-4/h7-8,13H,5-6H2,1-4H3/t7-,8-/m0/s1",1d,-861.2011066,3.639466348,4259.935104,1947.284535,-861.5167715,0.324649646,-861.2192956,-861.2659618,0.259795414,-861.2001626,0.325593976,4.213592607,0.140072479,4505.06431,0.174204596,-0.314277075,0.034132117,245.2748,2280.802833,36,0.30646103,0.585848575,0.022390113,0.02165176,0.081167543,1.999278678,5.918832457,3.897896569,0.040646863,32.81916649,110.0896384,0.021419227,0.083311637,1.999278854,5.916688363,3.895984962,0.597157227,-0.813155475,-0.489596466,0.01300755,-0.717282192,1.999820675,8.717282192,6.704448595,-0.50652957,39.6741839,268.5377941,0.012842416,-0.73325114,1.999820465,8.73325114,6.720582669,0.451431454,secondary,5,102.65,1.412980694,5.778139265,2.011578,8.66224095,0.454776041
"InChI=1S/C23H23NO3/c1-27-22(26)21(17-25)24-23(18-11-5-2-6-12-18,19-13-7-3-8-14-19)20-15-9-4-10-16-20/h2-16,21,24-25H,17H2,1H3/t21-/m0/s1",1ae,-1170.247939,2.966959736,8508.103225,2974.25415,-1170.674115,0.439802052,-1170.271682,-1170.325638,0.362103616,-1170.246995,0.440746186,3.69548615,0.146775211,8745.595409,0.145803094,-0.292578305,-0.000972118,361.4396,2888.480181,50,0.416058509,0.564459616,-0.054930176,0.020881605,-0.051239789,1.999262439,6.051239789,4.031095781,-0.054439908,43.60008908,117.1405002,0.020812359,-0.051068401,1.999262453,6.051068401,4.030991166,0.543274781,-0.762795341,-0.500260738,0.011833511,-0.722090095,1.999837901,8.722090095,6.710421899,-0.500476586,60.14387083,317.0059436,0.011838432,-0.722215814,1.999837901,8.722215814,6.71054489,0.409168339,primary,0,109.09,1.411107692,8.756873328,1.795056839,9.138240353,0.44773552
"InChI=1S/C19H18ClNO3/c1-12-16(9-10-22)17-11-15(24-2)7-8-18(17)21(12)19(23)13-3-5-14(20)6-4-13/h3-8,11,22H,9-10H2,1-2H3",1z,-1475.11405,12.32937201,10738.56787,2825.835769,-1475.459283,0.357438266,-1475.135968,-1475.188678,0.282811009,-1475.113106,0.358382481,2.392550848,0.151899776,11100.50382,0.11422122,-0.266120996,-0.037678555,343.8091,2702.838776,42,0.33552086,0.592549993,-0.049976015,0.019773717,-0.048167301,1.999280032,6.048167301,4.029113334,-0.048817687,59.59095429,118.5740111,0.019425346,-0.050763901,1.99929832,6.050763901,4.032039537,0.49362292,-0.790933006,-0.495002337,0.012248885,-0.71586438,1.99982966,8.71586438,6.703782913,-0.506021682,55.27505494,296.899923,0.012621549,-0.725156915,1.999825531,8.725156915,6.712709314,0.384667452,primary,0,109.72,1.416975346,9.12162409,1.960810364,10.05888256,0.381612979
"InChI=1S/C13H19NO/c1-11(14-9-5-6-10-14)13(15)12-7-3-2-4-8-12/h2-4,7-8,11,13,15H,5-6,9-10H2,1H3/t11-,13-/m0/s1",1v,-636.4367805,3.72486095,4070.376648,1706.809429,-636.7418718,0.316634954,-636.4509112,-636.4932977,0.260118743,-636.4358365,0.317578954,3.08223473,0.136596439,4131.337104,0.154779444,-0.291375883,0.018183004,205.2992,1961.087909,34,0.302504255,0.520411109,0.025449563,0.023111856,0.062035354,1.999139583,5.937964646,3.915713229,-0.004924505,38.1340717,109.7341024,0.022241412,0.077719819,1.999129597,5.922280181,3.900919012,0.703170471,-0.831302603,-0.509963225,0.013531136,-0.732675482,1.999829984,8.732675482,6.719324238,-0.516038953,73.43125679,308.8732017,0.013041782,-0.737517619,1.999829984,8.737517619,6.724645883,0.500189372,secondary,0,112.5,1.412266556,6.446750399,2.10081764,6.882205375,0.582825377
"InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10+,11?,12+,13-,14-,15-/m1/s1",1af,-961.6731988,2.628505085,4721.805543,2494.130632,-962.0672094,0.404865998,-961.6905638,-961.7326588,0.345406991,-961.6722548,0.405809998,2.049220611,0.130240007,4784.584655,0.190369954,-0.320609961,0.060129947,284.3516,2347.41929,44,0.387501996,1.101024998,0.1013685,0.025589998,0.370930151,1.999230001,5.629069849,3.60424985,0.098610544,24.19603898,84.72401772,0.025569997,0.371310152,1.999230001,5.628689848,3.603889851,0.644430237,-0.827059985,-0.493028983,0.011379998,-0.740800006,1.99981,8.740800006,6.729620008,-0.494077987,64.81374584,248.5439717,0.011389997,-0.741780003,1.99981,8.741780003,6.730580006,0.504326064,secondary,6,111.41,1.406470685,7.067097215,2.086361647,7.947706016,0.534691258
"InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1",1ad,-1191.513966,6.810273947,10304.79688,2885.512956,-1191.965876,0.466227675,-1191.53735,-1191.588323,0.391871267,-1191.513022,0.467171676,8.589400632,0.172850422,10497.3844,0.142059678,-0.3149101,-0.030790744,358.4334,2938.749278,52,0.442843416,0.346963566,-0.056306339,0.023874931,-0.172934155,1.999199931,6.172934155,4.149859293,-0.056214976,53.69836047,111.7287961,0.023884812,-0.172866282,1.999199931,6.172866282,4.149791298,0.517566917,-0.756492572,-0.516675384,0.012778862,-0.714515309,1.99981999,8.714515309,6.701916459,-0.516226178,57.18222718,330.588833,0.012788756,-0.714168346,1.99981999,8.714168346,6.701559714,0.357778635,primary,0,108.425,1.398788388,12.07987488,1.724110661,8.796862248,0.420554116
"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",1ab,-1062.592195,3.151902888,12500.63107,3098.947679,-1063.11369,0.529627726,-1062.61459,-1062.664659,0.457163117,-1062.59125,0.530571977,2.799741475,0.146203997,12615.66511,0.136757474,-0.282961471,-0.009446522,349.515,2889.526511,57,0.507232853,0.654010054,0.077582173,0.018249599,0.10759037,1.999195361,5.89240963,3.874969327,0.077813525,56.91698612,108.6770889,0.018244577,0.107585958,1.999195361,5.892414042,3.874976249,0.619745617,-0.836044827,-0.499251131,0.012122047,-0.725915069,1.999827318,8.725915069,6.713963022,-0.499433535,58.11469978,262.3455239,0.01212205,-0.726090864,1.999827318,8.726090864,6.714141472,0.391993049,secondary,6,109.99,1.421018143,15.74368633,2.126121198,5.495416691,0.476738367
"InChI=1S/C6H10N2O/c1-5-3-6(2)8(4-9)7-5/h3,9H,4H2,1-2H3",1t,-419.191184,2.6489,1286.48635,1316.3015,-419.3525043,0.170392,-419.200718,-419.235739,0.125837,-419.19024,0.171336,4.0135,0.126865,1295.4229,0.172965,-0.29983,0.0461,126.1578,1062.852,19,0.160858,1.019763,-0.059207,0.03578,0.05539,1.99929,5.94461,3.90953,-0.0294575,32.0411,110.4613,0.02428,0.09052,1.9993,5.90948,3.8859,0.481434865,-0.820786,-0.464498,0.01447,-0.71368,1.99983,8.71368,6.69938,-0.4877655,50.10435,266.32705,0.01188,-0.71092,1.99982,8.71092,6.69922,0.369100063,primary,0,107.84,1.40362266,5.53685599,1.710572345,6.588651275,0.373741347
"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",1aa,-623.7110624,5.448752394,1937.81319,1315.234449,-623.8808212,0.176683756,-623.7223729,-623.7601654,0.127580888,-623.7101183,0.177627909,5.591631506,0.183474294,2022.034376,0.12725977,-0.310734064,-0.056214524,171.1554,1406.1353,21,0.165374061,0.518821683,-0.042643372,0.019097457,-0.073173951,1.999293671,6.073173951,4.054783246,-0.054145655,51.42055282,120.2952738,0.019129193,-0.07264031,1.999292859,6.07264031,4.054217051,0.51583539,-0.749569993,-0.500065144,0.011994463,-0.727381483,1.999823161,8.727381483,6.715556255,-0.503801307,98.75867062,313.7245531,0.011930891,-0.730337345,1.999823161,8.730337345,6.718576715,0.42408113,primary,0,109.105,1.414155734,5.924179987,1.919026529,6.297319676,0.402521476
"InChI=1S/C7H7ClO/c8-7-3-1-2-6(4-7)5-9/h1-4,9H,5H2",1ao,-806.233754,1.0037,1673.4071,1122.0895,-806.362868,0.132975,-806.241922,-806.275798,0.090931,-806.23281,0.133919,2.04325,0.149025,1621.8262,0.155285,-0.30431,0.00626,142.5847,1152.4165,16,0.124807,0.6135145,-0.0592455,0.02232,-0.09024,1.99923,6.09024,4.06869,-0.068873,56.42815,117.41385,0.02142,-0.08171,1.99922,6.08171,4.06107,0.476164254,-0.7652865,-0.500148,0.01232,-0.71185,1.99984,8.71185,6.6997,-0.503123,78.1968,302.7906,0.01244,-0.71132,1.99983,8.71132,6.69906,0.371774701,primary,0,109.34,1.411830576,7.654145849,1.747670277,6.097815763,0.356749528
"InChI=1S/C38H29N5O8/c44-21-28-30(50-37(47)26-17-9-3-10-18-26)31(51-38(48)27-19-11-4-12-20-27)36(49-28)42-23-41-29-32(42)39-22-40-33(29)43(34(45)24-13-5-1-6-14-24)35(46)25-15-7-2-8-16-25/h1-20,22-23,28,30-31,36,44H,21H2/t28-,30-,31-,36-/m1/s1",1i,-2340.461034,12.13603467,39131.63813,4706.332637,-2341.09031,0.662398329,-2340.502419,-2340.58577,0.53766327,-2340.460089,0.663342335,11.12685082,0.178657874,42387.45318,0.133755405,-0.312413279,-0.04490247,683.6758,5106.313565,80,0.621012728,0.541326059,-0.048742263,0.021317774,-0.075179155,1.999249784,6.075179155,4.054611544,-0.048763042,53.13090508,123.1440534,0.021317751,-0.075199189,1.999249784,6.075199189,4.054631628,0.502537708,-0.880516409,-0.515299559,0.012856857,-0.744030719,1.999820002,8.744030719,6.731353857,-0.515328967,79.04614862,321.3211555,0.012846996,-0.744020134,1.999820002,8.744020134,6.731353127,0.454899033,primary,0,108.46,1.407184529,8.736357689,1.732036599,10.93173096,0.396735108
